activity,V2,startEnd,time
Clean Tags,Clean Tags,start,08:30
Clean Tags,Clean Tags,end,12:00
Check and Weigh Food,Check and Weigh Food,start,12:00
Check and Weigh Food,Check and Weigh Food,end,12:10
Remove and Freeze Dead Bees,Remove and Freeze Dead Bees,start,12:20
Remove and Freeze Dead Bees,Remove and Freeze Dead Bees,end,12:40
Remove and Mark New Bees,Remove and Mark New Bees,start,12:40
Remove and Mark New Bees,Remove and Mark New Bees,end,13:00
Lights ON,Lights ON,start,13:00
Lights ON,Lights ON,end,21:00
Recording 1,Recording,start,13:00
Recording 1,Recording,end,13:30
Recording 2,Recording,start,16:45
Recording 2,Recording,end,17:15
Recording 3,Recording,start,20:30
Recording 3,Recording,end,21:00
"Charge Cameras, Get SD Cards 1","Charge Cameras, Get SD Cards",start,13:30
"Charge Cameras, Get SD Cards 1","Charge Cameras, Get SD Cards",end,13:40
"Charge Cameras, Get SD Cards 2","Charge Cameras, Get SD Cards",start,17:15
"Charge Cameras, Get SD Cards 2","Charge Cameras, Get SD Cards",end,17:25
"Charge Cameras, Get SD Cards 3","Charge Cameras, Get SD Cards",start,21:00
"Charge Cameras, Get SD Cards 3","Charge Cameras, Get SD Cards",end,21:10
Prep Microbiome,Prep Microbiome,start,19:00
Prep Microbiome,Prep Microbiome,end,20:30
Spray Microbes,Spray Microbes,start,21:10
Spray Microbes,Spray Microbes,end,21:20
Swab nest,Swab nest,start,21:20
Swab nest,Swab nest,end,21:30